INFO:root:Bitcoin -> Price Avg 43333.554113126505 | Current Price :37884 | Bid Submitted : True
INFO:root:Ethereum -> Price Avg 3177.839380373711 | Current Price :2287.72 | Bid Submitted : True
INFO:root:Tether -> Price Avg 0.9984563023564468 | Current Price :0.999542 | Bid Submitted : False
2021-05-22 18:13:42,698 Bitcoin -> Price Avg 43333.554113126505 | Current Price :37870 | Bid Submitted : True
2021-05-22 18:13:42,891 Ethereum -> Price Avg 3177.839380373711 | Current Price :2286.05 | Bid Submitted : True
2021-05-22 18:13:43,045 Tether -> Price Avg 0.9984563023564468 | Current Price :0.999542 | Bid Submitted : False
2021-05-22 18:18:08,271 [INFO] Bitcoin -> Price Avg 43304.659976362855 | Current Price :37858 | Bid Submitted : True
2021-05-22 18:18:08,426 [INFO] Ethereum -> Price Avg 3177.839380373711 | Current Price :2293.28 | Bid Submitted : True
2021-05-22 18:18:08,560 [INFO] Tether -> Price Avg 0.9984563023564468 | Current Price :0.999542 | Bid Submitted : False
2021-05-22 18:18:41,138 [INFO] Bitcoin -> Price Avg 43304.659976362855 | Current Price :37858 | Bid Submitted : True
2021-05-22 18:18:41,278 [INFO] Ethereum -> Price Avg 3177.839380373711 | Current Price :2293.28 | Bid Submitted : True
2021-05-22 18:18:41,394 [INFO] Tether -> Price Avg 0.9984563023564468 | Current Price :0.999542 | Bid Submitted : False
bold_red = '[31;1m' 2021-05-22 18:25:25,241 [INFO] Bitcoin -> Price Avg 43304.659976362855 | Current Price :37832 | Bid Submitted : True
bold_red = '[31;1m' 2021-05-22 18:25:25,376 [INFO] Ethereum -> Price Avg 3177.839380373711 | Current Price :2293.36 | Bid Submitted : True
bold_red = '[31;1m' 2021-05-22 18:25:25,515 [INFO] Tether -> Price Avg 0.9984563023564468 | Current Price :0.999542 | Bid Submitted : False
'[31;1m' 2021-05-22 18:25:52,600 [INFO] Bitcoin -> Price Avg 43304.659976362855 | Current Price :37832 | Bid Submitted : True
'[31;1m' 2021-05-22 18:25:52,718 [INFO] Ethereum -> Price Avg 3177.839380373711 | Current Price :2293.36 | Bid Submitted : True
'[31;1m' 2021-05-22 18:25:52,837 [INFO] Tether -> Price Avg 0.9984563023564468 | Current Price :0.999542 | Bid Submitted : False
[31;1m 2021-05-22 18:26:25,453 [INFO] Bitcoin -> Price Avg 43304.659976362855 | Current Price :37808 | Bid Submitted : True
[31;1m 2021-05-22 18:26:25,613 [INFO] Ethereum -> Price Avg 3177.839380373711 | Current Price :2293.36 | Bid Submitted : True
[31;1m 2021-05-22 18:26:25,780 [INFO] Tether -> Price Avg 0.9984563023564468 | Current Price :0.999542 | Bid Submitted : False
[31;1m 2021-05-22 18:29:10,321 [INFO] Bitcoin -> Price Avg 43304.659976362855 | Current Price :37867 | Bid Submitted : True
[31;1m 2021-05-22 18:29:10,507 [INFO] Ethereum -> Price Avg 3177.839380373711 | Current Price :2290.86 | Bid Submitted : True
[31;1m 2021-05-22 18:29:10,681 [INFO] Tether -> Price Avg 0.9984563023564468 | Current Price :0.999542 | Bid Submitted : False
2021-05-22 18:29:28,245 [INFO] [31;1m Bitcoin -> Price Avg 43304.659976362855 | Current Price :37867 | Bid Submitted : True [0m
2021-05-22 18:29:28,398 [INFO] [31;1m Ethereum -> Price Avg 3177.839380373711 | Current Price :2290.86 | Bid Submitted : True [0m
2021-05-22 18:29:28,521 [INFO] [31;1m Tether -> Price Avg 0.9984563023564468 | Current Price :0.999542 | Bid Submitted : False [0m
2021-05-22 18:29:33,990 [INFO] [31;1m Bitcoin -> Price Avg 43304.659976362855 | Current Price :37867 | Bid Submitted : True [0m
2021-05-22 18:29:34,103 [INFO] [31;1m Ethereum -> Price Avg 3177.839380373711 | Current Price :2290.86 | Bid Submitted : True [0m
2021-05-22 18:29:34,226 [INFO] [31;1m Tether -> Price Avg 0.9984563023564468 | Current Price :0.999542 | Bid Submitted : False [0m
2021-05-22 18:45:52,670 [INFO] [31;1m Bitcoin -> Price Avg (43304.66, 2) | Current Price :37621 | Bid Submitted : True [0m
2021-05-22 18:45:52,831 [INFO] [31;1m Ethereum -> Price Avg (3177.71, 2) | Current Price :2286.38 | Bid Submitted : True [0m
2021-05-22 18:45:53,072 [INFO] [31;1m Tether -> Price Avg (1.0, 2) | Current Price :0.999542 | Bid Submitted : True [0m
2021-05-22 18:46:12,727 [INFO] [31;1m Bitcoin -> Price Avg 43304.66 | Current Price :37621 | Bid Submitted : True [0m
2021-05-22 18:46:12,824 [INFO] [31;1m Ethereum -> Price Avg 3177.71 | Current Price :2286.38 | Bid Submitted : True [0m
2021-05-22 18:46:12,931 [INFO] [31;1m Tether -> Price Avg 1.0 | Current Price :0.999542 | Bid Submitted : True [0m
2021-05-22 18:48:58,298 [INFO] [31;1m       Bitcoin -> Price Avg 43257.27 | Current Price :37384 | Bid Submitted : True [0m
2021-05-22 18:48:58,455 [INFO] [31;1m      Ethereum -> Price Avg 3177.71 | Current Price :2274.66 | Bid Submitted : True [0m
2021-05-22 18:48:58,632 [INFO] [31;1m        Tether -> Price Avg 1.0 | Current Price :0.999542 | Bid Submitted : True [0m
2021-05-22 18:49:19,343 [INFO] [31;1m Bitcoin       -> Price Avg 43257.27 | Current Price :37384 | Bid Submitted : True [0m
2021-05-22 18:49:19,435 [INFO] [31;1m Ethereum      -> Price Avg 3177.71 | Current Price :2274.66 | Bid Submitted : True [0m
2021-05-22 18:49:19,533 [INFO] [31;1m Tether        -> Price Avg 1.0 | Current Price :0.999542 | Bid Submitted : True [0m
